"id"	"pz2111301443"
"file_path"	"data_raw\glo\pres\pol\wfp\pz2111301443"
"local_path"	"M:\marin\swoc\work\wiosym"
"download_date"	"2021-11-30"
"user"	"pz"
"provider_list"	"wfp"
"provider_manual"	""
"source"	"https://geonode.wfp.org/layers/esri_gn:geonode:wld_trs_ports_wfp"
"citation"	"Global Ports [.shp]. 2017 Jan 1 [cited 2021 Nov 30]. UN World Food Programme. Available from: https://geonode.wfp.org/layers/esri_gn:geonode:wld_trs_ports_wfp"
"copyright"	"Open - product and raw data can be downloaded"
"copyright_details"	""
"location"	"glo"
"theme"	"Pressures (e.g. noise)"
"theme_tag"	"pres"
"subtheme"	"POLLUTION"
"subtheme_tag"	"pol"
"tags"	";pres;pollution;pollution;oil spill;"
"comments"	"This layer contains ports locations. This dataset brings together various public sources with WFP logistics information. It is updated regularly with inputs from WFP logistics but also from many partners through the Logistics Cluster and the Logistics Capacity Assessment (LCA: dlca.logcluster.org)"
