"id"	"gk2110071411"
"file_path"	"data_raw\glo\env\shoreline\osm\gk2110071411"
"local_path"	"M:\marin\swoc\work\wiosym"
"download_date"	"2021-10-07"
"user"	"gk"
"provider_list"	"osm"
"provider_manual"	""
"source"	"https://osmdata.openstreetmap.de/data/water-polygons.html"
"citation"	""
"copyright"	"Open - product and raw data can be downloaded"
"copyright_details"	"This data is Copyright 2021 OpenStreetMap contributors. It is
available under the Open Database License (ODbL). For more information see https://www.openstreetmap.org/copyright"
"location"	"glo"
"theme"	"Environmental (e.g. bathymetry)"
"theme_tag"	"env"
"subtheme"	"Shoreline (e.g. land/sea deliniations)"
"subtheme_tag"	"shoreline"
"tags"	";env;shoreline;analytical grid;marine boundary;shoreline;water body;"
"comments"	""
