"id"	"gk2107011047"
"file_path"	"data_raw\nat\mdg\adm\man_msp\unknown\gk2107011047"
"local_path"	"\\sgu.se\SGU\prod\proj\marin\swoc\work\wiosym"
"download_date"	"2021-07-01"
"user"	"gk"
"provider_list"	"none"
"provider_manual"	""
"source"	"mendrika.fahendrena@gmail.com"
"citation"	""
"copyright"	"Unknown"
"copyright_details"	""
"location"	"mdg"
"theme"	"Administrative (e.g. country borders)"
"theme_tag"	"adm"
"subtheme"	"Marine spatial plan"
"subtheme_tag"	"man_msp"
"tags"	";adm;marine spatial plan;maritime boundary;topography;env other;aquaculture;tourism;coastal habitat;coral;fish;bivalves gastropods;"
"comments"	"Marine Atlas from Madagascar
This download is only jpg maps, no gis files. a mix of MSP data"
