provider_name	provider_val
Africa Regional Data Cube (ardc)	ardc
African Development Bank (afdb)	afdb
African Marine Atlas (ama)	ama
Allen Coral Atlas (allen)	allen
AquaMaps (aquamaps)	aquamaps
Association of African Maritime Administrations (aama)	aama
Be Geospatial (begeospatial)	begeospatial
Belgian universities (biooracle)	biooracle
Blue Habitats (bluehab)	bluehab
CableMap (gcm)	gcm
Centre for Environment, Fisheries and Aquaculture Science (cefas)	cefas
Coastal and Marine Programme of the NEPAD Environment Initiative (cosmar)	cosmar
Coastal Oceans Research and Development in the Indian Ocean (cordio)	cordio
Community Fishery Council (ccp)	ccp
Community Forest Associations (cfas)	cfas
Conservation International (ci)	ci
Consortium for the Conservation of the Coastal and Marine Ecosystems of the Western Indian Ocean (wio_c)	wio_c
Department of Environmental Affairs of South Africa (deasf)	deasf
Deutsche Gesellschaft fur Internationale Zusammenarbeit (giz)	giz
Digital Earth Africa (dea)	dea
DIVA Gis (diva)	diva
East African Community (eac)	eac
East African Wildlife Society (eawls)	eawls
ESRI (esri)	esri
EU Copernicus (copernicus)	copernicus
EU Copernicus Marine Services (cmems)	cmems
EU Forest Resources and Carbon Emissions (iforce)	iforce
EU Joint Research Centre Data Catalogue (jrcdc)	jrcdc
Food and Agricultural Organisation of the United Nations (fao)	fao
Forum of Academic and Research Institutions in the Western Indian Ocean (fari)	fari
General Bathymetric Chart of the Oceans (gebco)	gebco
Geological Survey of Denmark and Greenland (geus)	geus
Global Biodiversity Information Facility (gbif)	gbif
Global Environment Facility Trust Fund (gef)	gef
Global Environmental Flows Network (eflownet)	eflownet
Global Fishing Watch (gfw)	gfw
Global Mangrove Watch (gmw)	gmw
Global Ocean Data Analysis Project (glodap)	glodap
Global Programme of Action for the Protection of the Marine Environment from Land-based Sources and Activities (unep_gpa)	unep_gpa
Grid Arendal (grida)	grida
Group on Earth Observations (geo)	geo
HUB Ocean (hub)	hub
Indian Ocean Tuna Commission (iotc)	iotc
Institute of Marine Sciences in Zanzibar (ims)	ims
Inter-Governmental Oceanographic Commission of UNESCO (ioc_unesco)	ioc_unesco
International Geosphere-Biosphere Programme (igbp)	igbp
International Seabed Authority (isa)	isa
International Submarine Cable Protection Committe (iscpc)	iscpc
International Union for the Conservation of Nature (iucn)	iucn
Kenya Forest Service (kfs)	kfs
Kenya Marine and Fisheries Research Institute (kmfri)	kmfri
Khaled bin Sultan Living Oceans Foundation (kslof)	kslof
Koordinates (koord)	koord
Literature (lit)	lit
Locally Managed Marine Area (lmma)	lmma
Mangrove Action Project (map)	map
MapStand (mapstand)	mapstand
Marine Protection Atlas (mpatlas)	mpatlas
Marine Regions organization (mro)	mro
Marine Spatial Atlas for the Western Indian Ocean (maspawio)	maspawio
Marine Traffic (marinetraffic)	marinetraffic
Mauritius Commercial Bank Forward Foundation (mcbff)	mcbff
Ministry of Environment and National Development Unit of Mauritius (mendu)	mendu
Ministry of Environment Natural Resources and Transport of Seychelles (menrts)	menrts
Ministry of Land Environment and Rural Development of Mozambique (mlerdm)	mlerdm
NASA Earth Observations (nasa)	nasa
National Directorate for Environment and Forestry of Comoros (dnef)	dnef
National Environment Management Authority of Kenya (nema)	nema
National Environment Management Council of Tanzania (nemc)	nemc
Natural Earth (naturalearth)	naturalearth
Nelson Mandela University (nmu)	nmu
New Partnership for Africa’s Development (nepad)	nepad
NMU Institute for Coastal and Marine Research (cmr)	cmr
No provider selected (none)	none
Norsk Polarinstitutt (npi)	npi
Northern Mozambique Channel initiative (nmci)	nmci
Ocean Biogeographic Information System (obis)	obis
Ocean Parcels (oceanparcels)	oceanparcels
OceanSITES (ocsi)	ocsi
Open Street Map (osm)	osm
Orbcomm Satellite AIS (orbcom)	orbcom
Pangaea (pangaea)	pangaea
Pure Earth (pureearth)	pureearth
ReefBase (reba)	reba
Regional Coastal Zone Management Programme of the Indian Ocean Commission (ioc_recomap)	ioc_recomap
Regional Fisheries Management Organization (rfmo)	rfmo
River Basin Organizations (rbo)	rbo
Seychelles Conservation & Climate Adaptation Trust (seyccat)	seyccat
Shared Water Course Institution (swci)	swci
Somalia Water and Land Information Management (fao_swalim)	fao_swalim
Somalia water and land information management (swalim)	swalim
South African National Biodiversity Institute (sanbi)	sanbi
South Western Indian Ocean Fisheries Project (swiofp)	swiofp
Southern African Development Community (sadc)	sadc
Sustainable Wetlands Adaptation and Mitigation Program (swamp)	swamp
Swedish International Water Institute (siwi)	siwi
TeleGeography (telgeo)	telgeo
The Knowledge Network for Biocomplexity (knb)	knb
The Nature Conservancy (tnc)	tnc
The Ocean Cleanup project (ocp)	ocp
The United Nations Support Office in Somalia (unsos)	unsos
U.S. Geological Survey (usgs)	usgs
U.S. National Oceanic and Atmospheric Administration (noaa)	noaa
UN Biodiversity Lab (unbl)	unbl
UN World Food Programme  (wfp)	wfp
UNEP World Conservation Monitoring Centre (wcmc)	wcmc
UNESCO Flanders Fund-in-Trust (unesco_fust)	unesco_fust
United Nations Agency for Human Settlements (unhabitat)	unhabitat
United Nations Development Programme (undp)	undp
United Nations Educational Scientific and Cultural Organisation  (unesco)	unesco
United Nations Environment Programme (unep)	unep
United Nations Framework Convention on Climate Change (unfccc)	unfccc
United Nations Industrial Development Organisation (unido)	unido
United Nations Office for Project Services (unops)	unops
United States Agency for International Development (usaid)	usaid
United States Forest Service (usfs)	usfs
University of Colorado (dbseabed)	dbseabed
Water and Nature Initiative of the IUCN (iucn-wani)	iucn-wani
Western Indian Ocean Mangrove Network (wiomn)	wiomn
Western Indian Ocean Marine Ecoregion Programme (wiomer)	wiomer
Western Indian Ocean Marine Science Association (wiomsa)	wiomsa
Western Indian Ocean Strategic Action Programme (wiosap)	wiosap
Wetlands International (wi)	wi
Wildlife Conservation Society (wcs)	wcs
WIO-LaB Addressing Land-based Activities in the Western Indian Ocean (wiolab)	wiolab
VLIZ - Flanders Marine Institute (vliz)	vliz
World Bank (wb)	wb
World Database on Protected Areas (wdpa)	wdpa
World Environment Center (wec)	wec
World Resources Institute (wri)	wri
World Wide Fund for Nature (wwf)	wwf
U.S. Department of Agriculture (usda)	usda
EnvironmenTrix Ltd (envirometrixltd)	envirometrixltd
The Geological Survey of Sweden (sgu)	sgu
Universidade Eduardo Mondlane  (uem)	uem
University of Gothenburg (gu)	gu
