theme_folder	theme_name	subtheme_folder	subtheme_tag	subtheme_name
adm	Administrative (e.g. country borders)	proj	projection	Projections (zones, definitions)
adm	Administrative (e.g. country borders)	grid	analytical grid	Analytical grid
adm	Administrative (e.g. country borders)	bound	boundary	BOUNDARY (administrative)
adm	Administrative (e.g. country borders)	bound_maritime	maritime boundary	Maritime boundary (e.g. EEZ, ABNJ)
adm	Administrative (e.g. country borders)	bound_marine	marine boundary	Marine boundary (e.g. definition of marine area) 
adm	Administrative (e.g. country borders)	man	management area	MANAGEMENT AREA
adm	Administrative (e.g. country borders)	man_local	locally managed areas	Locally Managed Area (e.g. BMU, CCP)
adm	Administrative (e.g. country borders)	man_msp	marine spatial plan	Marine spatial plan
adm	Administrative (e.g. country borders)	man_shipping	shipping area	Shipping area (e.g. shipping lane, anchorage)
adm	Administrative (e.g. country borders)	man_res	protected area	Protected area (e.g. marine reserve, restricted area)
adm	Administrative (e.g. country borders)	man_fishing	fishing area	Fishing area (e.g. fishery management areas)
adm	Administrative (e.g. country borders)	other	adm other	Other
env	Environmental (e.g. bathymetry)	topo	topography	Topography (e.g. bathymetry, elevation)
env	Environmental (e.g. bathymetry)	shoreline	shoreline	Shoreline (e.g. land/sea deliniations)
env	Environmental (e.g. bathymetry)	wabo	water body	Water body (e.g. fresh, estuarine, marine)
env	Environmental (e.g. bathymetry)	geo	geology	GEOLOGY
env	Environmental (e.g. bathymetry)	geo_geom	geomorphology	Geomorphology
env	Environmental (e.g. bathymetry)	geo_sub	substrate	Substrate
env	Environmental (e.g. bathymetry)	ocean	oceanography	OCEANOGRAPHY
env	Environmental (e.g. bathymetry)	ocean_chem	ocean chemistry	Ocean chemistry (e.g. temperature, salinity, oxygen)
env	Environmental (e.g. bathymetry)	ocean_zones	ocean zones	Ocean zones (e.g. photic, mesophotic, open ocean)
env	Environmental (e.g. bathymetry)	ocean_nrg	ocean energy	Ocean energy (e.g. currents, waves)
env	Environmental (e.g. bathymetry)	ocean_sealev	sea level	Sea level and tides
env	Environmental (e.g. bathymetry)	hydro	hydrology	HYDROLOGY
env	Environmental (e.g. bathymetry)	hydro_surface	surface waters	Surface waters (e.g. streams, watersheds)
env	Environmental (e.g. bathymetry)	hydro_ground	ground water	Ground water (e.g. aquifers)
env	Environmental (e.g. bathymetry)	hydro_rain	rainfall	Rainfall
env	Environmental (e.g. bathymetry)	landcov	land cover	LAND COVER
env	Environmental (e.g. bathymetry)	demo	demography	Demography
env	Environmental (e.g. bathymetry)	other	env other	Other
act	Activity (e.g. shipping)	ship	shipping	SHIPPING (e.g. AIS data with movements, anchoring)
act	Activity (e.g. shipping)	ship_port	ports	Ports
act	Activity (e.g. shipping)	dredge	dredging	Dredging
act	Activity (e.g. shipping)	dump	dumping sea	Dumping (sea)
act	Activity (e.g. shipping)	military	military	MILITARY
act	Activity (e.g. shipping)	inf	marine infrastructure	MARINE INFRASTRUCTURE
act	Activity (e.g. shipping)	inf_cables	cables	Submarine cables (e.g. telecom, power cables)
act	Activity (e.g. shipping)	nrg	energy	ENERGY
act	Activity (e.g. shipping)	nrg_oilgas	oil and gas	Oil and gas (e.g. prospecting, extraction, infrastructure)
act	Activity (e.g. shipping)	nrg_renew	renewable energy	Renewable energy (e.g. licenced areas, infrastructure)
act	Activity (e.g. shipping)	mining	seabed mining	Seabed mining
act	Activity (e.g. shipping)	survey	acoustic surveys	Acoustic surveys (e.g. seismic)
act	Activity (e.g. shipping)	rsrch	research	Research
act	Activity (e.g. shipping)	aqc	aquaculture	AQUACULTURE
act	Activity (e.g. shipping)	aqc_mari	mariculture	Mariculture
act	Activity (e.g. shipping)	fishing	fishing	FISHING
act	Activity (e.g. shipping)	fishing_com	commercial fishing	Commercial fishing
act	Activity (e.g. shipping)	fishing_art	artisanal fishing	Artisanal fishing
act	Activity (e.g. shipping)	fishing_recr	recreational fishing	Recreational fishing
act	Activity (e.g. shipping)	recr	recreation	RECREATION
act	Activity (e.g. shipping)	recr_tourism	tourism	Tourism
act	Activity (e.g. shipping)	recr_diving	diving snorkelling	Diving and snorkelling
act	Activity (e.g. shipping)	recr_boating	recreational boating	recreational boating (e.g. marinas, anchoring sites)
act	Activity (e.g. shipping)	other	act other	Other marine activity
act	Activity (e.g. shipping)	cd	coastal development	COASTAL DEVELOPMENT
act	Activity (e.g. shipping)	cd_inf	coastal infrastructure	Coastal infrastructure
act	Activity (e.g. shipping)	cd_piers	piers docks	Piers and docks
act	Activity (e.g. shipping)	cd_lrecl	land reclamation	Land reclamation
act	Activity (e.g. shipping)	cd_mining	coastal mining	Coastal mining (e.g. sand extraction)
act	Activity (e.g. shipping)	lb	land based activity	LAND BASED ACTIVITY
act	Activity (e.g. shipping)	lb_agri	agriculture	Agriculture
act	Activity (e.g. shipping)	lb_forestry	forestry	Forestry
act	Activity (e.g. shipping)	lb_mining	mining	Mining (land)
act	Activity (e.g. shipping)	lb_urbdev	urban development	Urban development
act	Activity (e.g. shipping)	lb_dump	dumping	Dumping (land)
act	Activity (e.g. shipping)	lb_industry	industrial activity	Industrial activity (land)
act	Activity (e.g. shipping)	lb_nrg	energy production	Energy production (land)
act	Activity (e.g. shipping)	lb_waste	waste water	Waste water (e.g. treatment plants, disposal)
act	Activity (e.g. shipping)	lb_other	act land other	Other land activity
pres	Pressures (e.g. noise)	bio	biological disturbance	BIOLOGICAL DISTURBANCE
pres	Pressures (e.g. noise)	bio_invasive	invasive species	Invasive species
pres	Pressures (e.g. noise)	bio_pathogens	pathogens	Pathogens
pres	Pressures (e.g. noise)	bio_extraction	extraction of species	Extraction of species
pres	Pressures (e.g. noise)	bio_collision	collision	Collision (e.g. ship strikes)
pres	Pressures (e.g. noise)	phys	physical disturbance	PHYSICAL DISTURBANCE
pres	Pressures (e.g. noise)	phys_seabed	seabed disturbance	seabed disturbance (e.g. abrasion, removal)
pres	Pressures (e.g. noise)	phys_barriers	barriers to movement	Barriers to species movements
pres	Pressures (e.g. noise)	nrg	energy change	ENERGY CHANGE (excluding climate related)
pres	Pressures (e.g. noise)	nrg_noise	underwater noise	Underwater noise
pres	Pressures (e.g. noise)	nrg_electro	electromagnetic	Electromagnetic disturbance
pres	Pressures (e.g. noise)	nrg_light	light change	Light change
pres	Pressures (e.g. noise)	nrg_water	water movement change	Water movement changes (waves currents)
pres	Pressures (e.g. noise)	cc	climate change	CLIMATE CHANGE
pres	Pressures (e.g. noise)	cc_temp	climate temperature	Climate change temperature
pres	Pressures (e.g. noise)	cc_deoxy	climate deoxygenation	Climate change deoxygenation 
pres	Pressures (e.g. noise)	cc_oacid	climate acidification	Climate change ocean acidification
pres	Pressures (e.g. noise)	cc_nrg	climate energy	Climate change energy (e.g. circulation, waves, storms)
pres	Pressures (e.g. noise)	cc_sealev	climate sea level 	Climate change sea level
pres	Pressures (e.g. noise)	cc_bleach	climate coral bleaching	Climate coral bleaching (e.g. historical events)
pres	Pressures (e.g. noise)	pol	pollution	POLLUTION
pres	Pressures (e.g. noise)	pol_air	air emissions	Air emissions
pres	Pressures (e.g. noise)	pol_oil	oil spill	Oil spill
pres	Pressures (e.g. noise)	pol_org	organic Pollution	Organic pollution
